date,confidence
2005-01-04,0.0706106647397956
2005-01-05,0.05366150537233638
2005-01-06,0.04400037036346183
2005-01-07,0.03336600138412538
2005-01-10,0.02189698201758883
2005-01-11,0.013934554836377955
2005-01-12,0.00986619927675536
2005-01-13,0.00762327353094705
2005-01-14,0.0069526551264231795
2005-01-17,0.007610244987712789
2005-01-18,0.007851806255981586
2005-01-19,0.007703506916299618
2005-01-20,0.006036131213362439
2005-01-21,0.004738762064812385
2005-01-24,0.004245563616551595
2005-01-25,0.0043748408819199724
2005-01-26,0.005034161333528853
2005-01-27,0.005644226028749033
2005-01-28,0.0059867103279813705
2005-01-31,0.007285851255244391
2005-02-01,0.008502985981555966
2005-02-02,0.005894318944634769
2005-02-03,0.004574836521129
2005-02-04,0.003732127623524817
2005-02-07,0.0032603998457187977
2005-02-08,0.0030104912248020144
2005-02-09,0.0029015959131367675
2005-02-10,0.0029782609929394077
2005-02-11,0.0030341731112848436
2005-02-14,0.0031814603786040063
2005-02-15,0.0035808260121580338
2005-02-16,0.003948379006641356
2005-02-17,0.003976868346197593
2005-02-18,0.003937275662704964
2005-02-21,0.0043477131604804375
2005-02-22,0.0053705689985700245
2005-02-23,0.004709656883591151
2005-02-24,0.004432886967497551
2005-02-25,0.004367636782320439
2005-02-28,0.004521142372328368
2005-03-01,0.004108223693122248
2005-03-02,0.004285413081336453
2005-03-03,0.004537823523481643
2005-03-04,0.004600386491893205
2005-03-07,0.004732889305647969
2005-03-08,0.00560617149881204
2005-03-10,0.00517537044060723
2005-03-11,0.0055175352373632025
2005-03-14,0.006677655428686036
2005-03-15,0.009078924369773977
2005-03-16,0.01374443187803065
2005-03-17,0.022086244794686016
2005-03-18,0.026796195693145175
2005-03-21,0.02927123052353864
2005-03-22,0.029253539138808238
2005-03-23,0.03401172817628684
2005-03-24,0.029645885147219553
2005-03-29,0.0246870474787928
2005-03-30,0.023953363635822345
2005-03-31,0.026339693664590436
2005-04-01,0.02959050840972921
2005-04-04,0.03290037520993383
2005-04-05,0.02816131173871217
2005-04-06,0.02795102594263399
2005-04-07,0.03200651319704595
2005-04-08,0.041528990900432605
2005-04-11,0.05561289925736579
2005-04-12,0.07717342856962162
2005-04-13,0.10545354596678058
2005-04-14,0.11604984935050422
2005-04-15,0.13333669781749624
2005-04-18,0.16347684626175696
2005-04-19,0.1742601594570805
2005-04-20,0.20150733724646996
2005-04-21,0.23936077383514653
2005-04-22,0.2741647370601391
2005-04-25,0.33367440989005104
2005-04-26,0.4475046195528857
2005-04-28,0.33980490439975486
2005-04-29,0.43374874398127916
2005-05-03,0.49247879315161924
2005-05-04,0.4573213618351324
2005-05-05,0.4345091950368769
2005-05-06,0.41577735668690563
2005-05-09,0.40274006280832064
2005-05-10,0.3587173810064431
2005-05-11,0.33055634571166737
2005-05-12,0.322953628676796
2005-05-13,0.3315463347091203
2005-05-16,0.2935366412309506
2005-05-17,0.2499846896677077
2005-05-18,0.23063284582354748
2005-05-19,0.1997827405574284
2005-05-20,0.18462813573628833
2005-05-23,0.15245942259482914
2005-05-24,0.13613778579051772
2005-05-25,0.13211037714816454
2005-05-26,0.1330817020554882
2005-05-27,0.10216700427465186
2005-05-30,0.08607000458549074
2005-05-31,0.06867607519055141
2005-06-01,0.04553456159034219
2005-06-02,0.031009645873682823
2005-06-03,0.021370246561085993
2005-06-06,0.016506046425689647
2005-06-07,0.014624017441482229
2005-06-08,0.010448463448609613
2005-06-09,0.008733176211410232
2005-06-10,0.008735716102727609
2005-06-13,0.010517455735383652
2005-06-14,0.007435919487257969
2005-06-15,0.006010562711940781
2005-06-17,0.005612159418720175
2005-06-20,0.005028436191271024
2005-06-21,0.005296127719175758
2005-06-22,0.006106429521841816
2005-06-23,0.008104707873052841
2005-06-24,0.011258652913429201
2005-06-27,0.008412798615835548
2005-06-28,0.0065694863564208505
2005-06-29,0.0060585406745672366
2005-06-30,0.005127765898692016
2005-07-01,0.004743864631269967
2005-07-04,0.00444609538323637
2005-07-05,0.004424298659483794
2005-07-06,0.004932671582674963
2005-07-07,0.006332670913431371
2005-07-08,0.006914104478946803
2005-07-11,0.005846542239755559
2005-07-12,0.0058058440653198096
2005-07-13,0.006582787419306402
2005-07-14,0.005651312286905963
2005-07-15,0.005002642774304178
2005-07-18,0.004257807479969955
2005-07-19,0.004067491338355045
2005-07-20,0.0036745094918784194
2005-07-21,0.0037267433176227938
2005-07-22,0.004224838779951168
2005-07-25,0.004602659475605564
2005-07-26,0.004768703711309552
2005-07-27,0.004362613305537999
2005-07-28,0.004480204921364583
2005-07-29,0.0047124639387712275
2005-08-01,0.004407077797761616
2005-08-02,0.004719176583115603
2005-08-03,0.004614004509919445
2005-08-04,0.004325149659355154
2005-08-05,0.004667816761278032
2005-08-08,0.005693814904378369
2005-08-09,0.006037206735389655
2005-08-10,0.006133313734608792
2005-08-11,0.0073436582327272015
2005-08-12,0.010090616556251208
2005-08-15,0.01500973451647758
2005-08-16,0.023384965114163547
2005-08-17,0.029160270647379583
2005-08-18,0.025961846884422046
2005-08-19,0.025591191574258598
2005-08-22,0.025886495622395977
2005-08-23,0.030541505462577834
2005-08-24,0.040989768115496594
2005-08-25,0.032303224814606346
2005-08-26,0.028164104544782798
2005-08-29,0.024685424925280586
2005-08-30,0.025038928544363404
2005-08-31,0.02974116478670996
2005-09-01,0.036524881007816035
2005-09-02,0.0331816000984988
2005-09-05,0.03279611867844523
2005-09-06,0.034231754283549964
2005-09-07,0.03547127837139197
2005-09-08,0.04115143396317644
2005-09-09,0.048543163183586424
2005-09-12,0.06525383551827979
2005-09-13,0.0831927315481732
2005-09-14,0.10345038154580266
2005-09-15,0.14355437027887674
2005-09-16,0.18891567126126585
2005-09-19,0.21203531809907772
2005-09-20,0.25456162196777077
2005-09-21,0.30121713600772737
2005-09-22,0.38285077320817895
2005-09-23,0.4237864652518698
2005-09-26,0.48276259242446073
2005-09-27,0.49869422864448165
2005-09-28,0.4615786914875687
2005-09-29,0.42872568683591017
2005-09-30,0.3595545292106832
2005-10-03,0.299759553658157
2005-10-04,0.27154245430393364
2005-10-05,0.21075932101012607
2005-10-06,0.13212463124129192
