date,Risk-On,Risk-Off,Stagflation
2020-09-29,0.3813512829702944,0.618539150247375,0.00010956678232910371
2020-09-30,0.5483241686234466,0.451615913874725,5.99175018271133e-05
2020-10-01,0.6656635162802649,0.33429752760335973,3.8956116373888415e-05
2020-10-02,0.7272855694825241,0.27268268464869283,3.174586878170756e-05
2020-10-05,0.768496738508244,0.23147378008908048,2.948140267421748e-05
2020-10-06,0.7898589416228704,0.21010947867271154,3.15797044169054e-05
2020-10-07,0.8035876466836647,0.19637656341055784,3.5789905776310895e-05
2020-10-08,0.8149908050182882,0.18497263764045777,3.6557341253018406e-05
2020-10-09,0.8189576183482005,0.18099912339148186,4.325826031681138e-05
2020-10-12,0.8269226518265671,0.17303729575269755,4.0052420734349584e-05
2020-10-13,0.8261187010102261,0.17383739312219756,4.390586757549997e-05
2020-10-14,0.825228209492816,0.17472639660475137,4.539390243195827e-05
2020-10-15,0.8136068728768826,0.18633521083133128,5.791629178527923e-05
2020-10-16,0.8081452001880838,0.19179975871124444,5.504110067088812e-05
2020-10-19,0.787556080938343,0.2123719492734324,7.196978822374464e-05
2020-10-20,0.7429115461406713,0.25696064707513705,0.0001278067841905911
2020-10-21,0.656527730898168,0.3431866398007012,0.0002856293011300403
2020-10-22,0.4937424728898801,0.5054847871773603,0.0007727399327590015
2020-10-23,0.39223744499761554,0.6066888193770175,0.0010737356253665488
2020-10-26,0.24414164746516143,0.7539193354574227,0.0019390170774152625
2020-10-27,0.07612090238678507,0.9202094502391567,0.003669647374058039
2020-10-28,0.0011789492158077919,0.9940302458565847,0.00479080492760746
2020-10-29,0.007487346928556016,0.9894115493150224,0.003101103756421551
2020-10-30,0.010658027707298144,0.9871132271155109,0.002228745177190972
2020-11-02,0.008446112703871163,0.9896400019931053,0.0019138853030235463
2020-11-03,0.011212721105188018,0.9872549179520668,0.0015323609427451699
2020-11-04,0.010397957095791926,0.9881853118548355,0.001416731049372402
2020-11-05,0.005714118609460737,0.9927446711607969,0.0015412102297423257
2020-11-06,0.03882075723834198,0.9601566421473021,0.0010226006143557102
2020-11-09,0.21623308051886997,0.7833132980665727,0.00045362141455720754
2020-11-10,0.5028607714161878,0.4969710752406756,0.000168153343136553
2020-11-11,0.6646302327292354,0.3353007802518588,6.898701890572358e-05
2020-11-12,0.7592863213944108,0.24068202065454353,3.1657951045672355e-05
2020-11-13,0.8492059221724929,0.1507784455655352,1.5632261971768052e-05
2020-11-16,0.8981014506237202,0.10188866409254006,9.8852837396184e-06
2020-11-17,0.9234672975429878,0.0765246383783849,8.06407862709452e-06
2020-11-18,0.9402339133839391,0.05975870970769495,7.376908365808331e-06
2020-11-19,0.9478289728702505,0.052163078765365155,7.948364384375808e-06
2020-11-20,0.9598528996265178,0.04014080018700457,6.300186477896201e-06
2020-11-23,0.9650115903042339,0.03498156209766925,6.847598096870379e-06
2020-11-24,0.9703183198149804,0.029675491871545577,6.188313474067329e-06
2020-11-25,0.9759204556423109,0.024074438471315,5.1058863740357164e-06
2020-11-26,0.9776994857916065,0.02229464024800431,5.873960388965365e-06
2020-11-27,0.9756440978665406,0.02434713485411426,8.767279344750147e-06
2020-11-30,0.9693176710157437,0.03066699001519298,1.5338969062877717e-05
2020-12-01,0.9696338605022133,0.030352875333609218,1.32641641769697e-05
2020-12-02,0.9672222170918808,0.032762949357117536,1.4833551001141252e-05
2020-12-03,0.968789677799892,0.03119840954376172,1.1912656345921512e-05
2020-12-04,0.973305064284902,0.026686553426793935,8.382288303688559e-06
2020-12-07,0.974400031846866,0.025591927289397753,8.040863735937749e-06
2020-12-08,0.9712219921635705,0.028767124876593483,1.0882959835710856e-05
2020-12-09,0.9675211312598582,0.03246602878849352,1.2839951648000647e-05
2020-12-10,0.9575925193978364,0.042387311113866774,2.0169488296332828e-05
2020-12-11,0.9378735326921133,0.06208953246224709,3.6934845639232727e-05
2020-12-14,0.9003803360353496,0.09954361675785209,7.604720679814302e-05
2020-12-15,0.8300519277345016,0.16976955187731932,0.00017852038817875335
2020-12-17,0.703095452554466,0.2964355990986471,0.0004689483468866121
2020-12-18,0.6612802339129711,0.33831158707483167,0.00040817901219681923
2020-12-21,0.6507232536981673,0.3489782464075228,0.0002984998943094553
2020-12-22,0.6810852249739672,0.3187506394708709,0.00016413555516164738
2020-12-23,0.6931888561599673,0.3067026119380691,0.00010853190196338035
2020-12-24,0.6909979089257455,0.30891192179768656,9.016927656755488e-05
2020-12-28,0.6708186313088148,0.3290753985198922,0.00010597017129257012
2020-12-29,0.630328227373167,0.36950712906165784,0.00016464356517485935
2020-12-30,0.5535212639450439,0.44614646587007883,0.0003322701848769578
2020-12-31,0.43669169841503924,0.5626103993203808,0.0006979022645794325
2021-01-05,0.25434259138588,0.743962935846194,0.0016944727679256714
2021-01-06,0.2857574551493613,0.7131980933846279,0.0010444514660106175
2021-01-07,0.34622000090140626,0.6532179151359306,0.0005620839626629812
2021-01-08,0.5641782541000151,0.4356043021607677,0.0002174437392170388
2021-01-11,0.7044695665489622,0.2954384585505421,9.19749004954722e-05
2021-01-12,0.7846711694744734,0.21528352372755144,4.530679797495304e-05
2021-01-13,0.8342150097787985,0.16575752872718114,2.7461494020300745e-05
2021-01-14,0.8618086083237032,0.1381698378919592,2.155378433755815e-05
2021-01-15,0.8769934511043036,0.12298662298810073,1.992590759583696e-05
2021-01-18,0.884529133293379,0.11544978123034581,2.1085476275111728e-05
2021-01-19,0.8810522646218624,0.11891900512964115,2.873024849637529e-05
2021-01-20,0.8682513205993254,0.13170452225060372,4.415715007041647e-05
2021-01-21,0.847792311038448,0.15214532365293157,6.236530862003566e-05
2021-01-25,0.8051722376805402,0.1947093570479158,0.00011840527154355789
